,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
1M,5.03,5.72,5.73,5.64,5.63,5.55,5.46,5.41,5.36,5.32,5.26,5.18,5.14,5.13,5.11
2M,5.25,5.79,5.85,5.81,5.78,5.72,5.65,5.6,5.55,5.51,5.47,5.41,5.36,5.32,5.3
3M,5.42,5.84,5.92,5.87,5.84,5.74,5.71,5.66,5.62,5.58,5.56,5.53,5.45,5.43,5.42
6M,5.75,5.89,5.9,5.89,5.88,5.83,5.8,5.77,5.75,5.73,5.7,5.65,5.58,5.55,5.54
9M,5.89,6.03,6.02,5.98,5.95,5.92,5.89,5.87,5.85,5.84,5.8,5.75,5.67,5.63,5.63
1Y,6.12,6.13,6.12,6.08,6.05,6,5.97,5.95,5.93,5.91,5.87,5.82,5.74,5.69,5.7
18M,6.16,6.14,6.14,6.11,6.08,6.04,6,5.98,5.96,5.94,5.9,5.84,5.75,5.71,5.71
2Y,6.18,6.16,6.13,6.12,6.09,6.06,6.03,6.01,5.99,5.97,5.92,5.85,5.76,5.71,5.71
3Y,6.22,6.16,6.13,6.11,6.09,6.05,6.02,6,5.98,5.96,5.9,5.82,5.73,5.68,5.68
4Y,6.19,6.15,6.12,6.1,6.08,6.05,6.01,5.99,5.97,5.94,5.88,5.79,5.7,5.66,5.65
5Y,6.17,6.1,6.08,6.07,6.06,6.03,5.99,5.97,5.95,5.92,5.86,5.76,5.67,5.63,5.62
6Y,6.15,6.08,6.06,6.04,6.03,6,5.96,5.94,5.91,5.88,5.81,5.7,5.62,5.58,5.57
7Y,6.14,6.09,6.06,6.03,6.01,5.97,5.93,5.9,5.87,5.84,5.76,5.65,5.58,5.53,5.52
8Y,6.1,6.05,6,5.98,5.95,5.9,5.85,5.81,5.8,5.77,5.7,5.58,5.51,5.46,5.45
9Y,6.08,6,5.95,5.92,5.89,5.85,5.81,5.77,5.74,5.7,5.62,5.51,5.44,5.39,5.38
10Y,6.02,5.95,5.91,5.87,5.84,5.79,5.75,5.71,5.67,5.63,5.55,5.44,5.38,5.33,5.32
12Y,5.89,5.81,5.77,5.72,5.69,5.64,5.6,5.56,5.52,5.49,5.41,5.29,5.22,5.19,5.18
15Y,5.69,5.59,5.55,5.51,5.47,5.42,5.37,5.33,5.29,5.25,5.18,5.07,4.99,4.96,4.96
20Y,5.25,5.19,5.13,5.09,5.04,5.01,4.96,4.93,4.88,4.85,4.78,4.69,4.64,4.62,4.63
25Y,5.07,5.02,4.97,4.92,4.86,4.83,4.77,4.74,4.69,4.65,4.6,4.52,4.49,4.48,4.5
